idx,CHILD_SEX,IDD_SCORE,AGE,HHID_count,HH_AGE,FOOD_EXPENSE_WEEKLY,NON-FOOD_EXPENSE_WEEKLY,HDD_SCORE,FOOD_INSECURITY,YoungBoys,YoungGirls,AverageMonthlyIncome,BEN_4PS,AREA_TYPE,FOOD_EXPENSE_WEEKLY_pc,NON-FOOD_EXPENSE_WEEKLY_pc,AverageMonthlyIncome_pc
CV771,1,6,8,4,16.5,1313,1482.5,8,2,1,0,4,2,0,328.25,370.625,1
CV1872,1,6,7,12,30.58333333,2318,924,8,3,0,1,7,1,0,193.1666667,77,0.583333333
CV1317,0,6,6,6,19.5,1462,281.25,9,2,0,1,1,1,0,243.6666667,46.875,0.166666667
CV617,0,5,6,2,19,397,743.3325,6,4,-999,-999,1,1,0,198.5,371.66625,0.5
CV1255,1,6,8,4,30.5,2825,2420,8,2,-999,-999,6,1,0,706.25,605,1.5
CV890,0,6,6,4,22,4121,3141.25,8,4,0,1,1,1,0,1030.25,785.3125,0.25
CV1856,0,5,5,11,22.90909091,2139.5,1356.75,8,3,1,0,2,1,0,194.5,123.3409091,0.181818182
CV862,0,6,5,3,41,670.33,25.1675,8,4,1,0,1,1,0,223.4433333,8.389166667,0.333333333
CV1175,0,2,8,5,23.2,2283.5,3477.25,8,2,-999,-999,8,1,0,456.7,695.45,1.6
CV856,1,6,6,3,36,1898,528.75,9,3,-999,-999,1,1,0,632.6666667,176.25,0.333333333
CV1784,1,7,10,8,16.875,2281,1835.75,9,3,0,2,4,2,0,285.125,229.46875,0.5
CV1203,0,5,10,5,22.8,1292,469.75,6,4,-999,-999,2,2,0,258.4,93.95,0.4
CV816,0,6,11,4,21.5,1199,3121.5,8,4,-999,-999,1,2,0,299.75,780.375,0.25
CV1603,0,7,11,7,21.57142857,2112,332.25,9,2,-999,-999,1,2,0,301.7142857,47.46428571,0.142857143
CV1440,1,5,13,9,17.33333333,818,1124.75,6,4,0,1,1,2,0,90.88888889,124.9722222,0.111111111
CV1583,0,6,5,6,14.33333333,1235,907.25,8,4,2,0,1,2,0,205.8333333,151.2083333,0.166666667
CV1201,0,8,5,5,36.6,2668,4864.5,9,1,1,0,8,1,0,533.6,972.9,1.6
CV1720,1,7,5,10,17.8,1470,538.75,8,3,0,2,1,2,0,147,53.875,0.1
CV1173,1,6,7,4,22.25,1003,868.25,9,3,-999,-999,2,1,0,250.75,217.0625,0.5
CV1790,0,6,7,10,14,2067,674.75,9,4,0,2,1,1,0,206.7,67.475,0.1
CV1132,1,7,9,4,26,2153,2277.5,9,3,-999,-999,1,2,0,538.25,569.375,0.25
CV818,1,7,10,5,25.6,1924,164.25,9,3,-999,-999,0,2,0,384.8,32.85,0
CV830,0,7,13,5,20,1766.5,5004.25,9,3,-999,-999,2,2,0,353.3,1000.85,0.4
